[step   2050/50000] loss=0.2424  lr=4.99e-05  grad=2.35  54.1 sa/s
[step   2100/50000] loss=0.2363  lr=4.99e-05  grad=2.41  71.9 sa/s
[step   2150/50000] loss=0.2400  lr=4.99e-05  grad=2.00  71.9 sa/s
[step   2200/50000] loss=0.2479  lr=4.99e-05  grad=2.02  71.9 sa/s
[step   2250/50000] loss=0.2358  lr=4.98e-05  grad=2.47  71.9 sa/s
[step   2300/50000] loss=0.2273  lr=4.98e-05  grad=1.85  71.2 sa/s
[step   2350/50000] loss=0.2385  lr=4.98e-05  grad=1.63  71.9 sa/s
[step   2400/50000] loss=0.2311  lr=4.98e-05  grad=2.13  71.9 sa/s
[step   2450/50000] loss=0.2352  lr=4.98e-05  grad=2.10  71.9 sa/s
[step   2500/50000] loss=0.2260  lr=4.98e-05  grad=1.89  71.8 sa/s
[step   2550/50000] loss=0.2282  lr=4.98e-05  grad=2.18  71.9 sa/s
[step   2600/50000] loss=0.2332  lr=4.98e-05  grad=1.89  71.7 sa/s
[step   2650/50000] loss=0.2213  lr=4.98e-05  grad=1.34  71.9 sa/s
[step   2700/50000] loss=0.2278  lr=4.98e-05  grad=1.75  72.0 sa/s
[step   2750/50000] loss=0.2287  lr=4.97e-05  grad=1.75  72.0 sa/s
[step   2800/50000] loss=0.2236  lr=4.97e-05  grad=2.06  72.0 sa/s
[step   2850/50000] loss=0.2226  lr=4.97e-05  grad=1.97  71.9 sa/s
[step   2900/50000] loss=0.2205  lr=4.97e-05  grad=2.18  72.0 sa/s
[step   2950/50000] loss=0.2251  lr=4.97e-05  grad=1.11  72.0 sa/s
[step   3000/50000] loss=0.2214  lr=4.97e-05  grad=2.35  71.9 sa/s
[step   3050/50000] loss=0.2224  lr=4.97e-05  grad=1.03  71.9 sa/s
[step   3100/50000] loss=0.2106  lr=4.97e-05  grad=1.62  71.9 sa/s
[step   3150/50000] loss=0.2162  lr=4.96e-05  grad=2.33  71.9 sa/s
[step   3200/50000] loss=0.2203  lr=4.96e-05  grad=1.66  71.9 sa/s
